Time (s),Throughput (req/s)
0.0,Infinity
1.0,233.0
2.0,182.5
3.0,154.0
4.0,140.75
5.0,118.2
6.0,113.5
7.0,103.28571428571429
8.0,94.5
9.0,86.88888888888889
10.0,81.4
11.0,77.0909090909091
12.0,73.0
13.0,68.92307692307692
14.0,66.35714285714286
15.0,63.53333333333333
16.0,62.125
17.0,60.88235294117647
18.0,59.72222222222222
19.0,58.10526315789474
20.0,56.45
21.0,54.857142857142854
22.0,53.40909090909091
23.0,52.08695652173913
24.0,51.083333333333336
25.0,49.92
26.0,49.03846153846154
27.0,48.55555555555556
28.0,48.17857142857143
29.0,47.206896551724135
30.0,46.166666666666664
31.0,45.483870967741936
32.0,44.71875
33.0,44.121212121212125
34.0,43.85294117647059
35.0,43.714285714285715
36.0,43.55555555555556
37.0,43.37837837837838
38.0,43.36842105263158
39.0,43.35897435897436
40.0,43.275
41.0,43.048780487804876
42.0,42.92857142857143
43.0,42.74418604651163
44.0,42.43181818181818
45.0,41.955555555555556
46.0,41.65217391304348
47.0,41.659574468085104
48.0,416.1666666666667
49.0,443.0612244897959
50.0,435.24
51.0,427.70588235294116
52.0,420.40384615384613
53.0,413.2641509433962
54.0,406.48148148148147
55.0,472.7090909090909
56.0,746.6607142857143
57.0,734.6666666666666
58.0,722.8448275862069
59.0,711.5593220338983
60.0,1032.7833333333333
61.0,1048.8196721311476
62.0,1322.032258064516
63.0,1936.4285714285713
